Player,Position,Team,Projection,Games,PPG,Tier
Payne Durham,TE,TB,20.2,15,1.34,11
Stone Smartt,TE,NYJ,19.9,15,1.33,11
Hunter Luepke,RB,DAL,18.9,15,1.26,16
Gabe Davis,WR,JAX,18.8,15,1.25,17
Andrew Ogletree,TE,IND,18.7,15,1.25,11
Jacoby Brissett,QB,ARZ,18.7,2,9.33,11
Derius Davis,WR,LAC,18,15,1.2,17
Keaton Mitchell,RB,BLT,17.4,10,1.74,16
Tyler Goodson,RB,IND,17.4,13,1.34,16
Ja'Lynn Polk,WR,NE,17.1,15,1.14,17
Rasheen Ali,RB,BLT,16.4,10,1.64,16
Malachi Corley,WR,NYJ,16.4,13,1.26,17
Alec Ingold,RB,MIA,16.4,15,1.09,16
Charlie Kolar,TE,BLT,16.2,15,1.08,11
Brevin Jordan,TE,HST,16.2,10,1.62,11
Pharaoh Brown,TE,MIA,16.2,15,1.08,11
Justin Watson,WR,HST,16,15,1.07,17
Will Mallory,TE,IND,15.7,14,1.12,11
Johnny Wilson,WR,PHI,15.6,15,1.04,17
KeAndre Lambert-Smith,WR,LAC,15.4,10,1.54,17
Brevyn Spann-Ford,TE,DAL,15.3,15,1.02,11
Ian Thomas,TE,LV,15.2,13,1.17,11
C.J. Ham,RB,MIN,14.8,15,0.99,17
Austin Trammell,WR,JAX,14.8,10,1.48,17
Jordan Watkins,WR,SF,14.8,15,0.98,17
Tyler Badie,RB,DEN,14.4,14,1.03,17
Xavier Gipson,WR,NYJ,14.1,15,0.94,17
Xavier Weaver,WR,ARZ,14.1,14,1,17
Treylon Burks,WR,TEN,13.9,9,1.54,17
Chris Brooks,RB,GB,13.7,10,1.37,17
Blake Whiteheart,TE,CLV,13.4,14,0.96,11
Johnny Mundt,TE,JAX,13.4,15,0.89,11
Kenny McIntosh,RB,SEA,13.4,14,0.95,17
Chris Blair,WR,ATL,13.3,14,0.95,17
Hunter Long,TE,JAX,13.3,12,1.1,11
Bo Melton,WR,GB,13.2,12,1.1,17
Gavin Bartholomew,TE,MIN,12.8,15,0.85,11
Donald Parham,TE,PIT,12.7,9,1.41,11
DeeJay Dallas,RB,ARZ,12.5,14,0.89,17
Lil'Jordan Humphrey,WR,NYG,12.4,10,1.24,17
Tanner McLachlan,TE,CIN,12.4,13,0.95,11
Malik Heath,WR,GB,12.2,12,1.02,17
Daniel Bellinger,TE,NYG,12.1,15,0.81,11
Kimani Vidal,RB,LAC,12,14,0.85,17
Connor Heyward,TE,PIT,11.9,15,0.79,11
Lucas Krull,TE,DEN,11.6,14,0.83,11
Sterling Shepard,WR,TB,11.5,13,0.89,17
Pierre Strong,RB,CLV,11.2,14,0.8,17
Jordan Mims,RB,NO,11.1,10,1.11,17
Ben Skowronek,WR,PIT,11.1,14,0.79,17
Travis Homer,RB,CHI,10.7,14,0.77,17
Julius Chestnut,RB,TEN,10.5,10,1.05,17
Patrick Taylor,RB,SF,10.3,14,0.74,17
Ashton Dulin,WR,IND,10,15,0.67,17
Roman Wilson,WR,PIT,9.9,14,0.71,17
DeAndre Carter,WR,CLV,9.9,14,0.7,17
Simi Fehoko,WR,ARZ,9.5,7,1.36,17
