Player,Team,Position,Projection
Demarcus Robinson,SF,WR,44.33
Troy Franklin,DEN,WR,43.08
Jermaine Burton,CIN,WR,42.88
Cade Stover,HOU,TE,42.46
Tommy Tremble,CAR,TE,42.44
Oronde Gadsden II,LAC,TE,40.80
Kirk Cousins,ATL,QB,40.60
Tory Horton,SEA,WR,40.36
Allen Lazard,NYJ,WR,40.21
Woody Marks,HOU,RB,39.73
Savion Williams,GB,WR,39.35
Ty Johnson,BUF,RB,39.25
Parker Washington,JAC,WR,38.94
Raheem Mostert,LV,RB,38.35
Elijah Higgins,ARI,TE,38.35
Curtis Samuel,BUF,WR,38.06
Luke Schoonmaker,DAL,TE,37.87
AJ Barner,SEA,TE,37.80
Ray-Ray McCloud III,ATL,WR,37.56
Greg Dulcich,NYG,TE,37.24
Jameis Winston,NYG,QB,36.57
Josh Reynolds,NYJ,WR,36.01
Jaylin Lane,WAS,WR,35.99
Christian Watson,GB,WR,35.56
Sincere McCormick,LV,RB,35.48
Josh Oliver,MIN,TE,35.47
Mack Hollins,NE,WR,35.44
Jonathan Mingo,DAL,WR,35.33
Grant Calcaterra,PHI,TE,34.97
Marcus Mariota,WAS,QB,34.85
Trevor Etienne,CAR,RB,34.69
Joe Milton III,DAL,QB,33.73
Will Levis,TEN,QB,33.24
