name,team,position,projection
Tampa Bay Buccaneers,TB,DST,89.3
San Francisco 49ers,SF,DST,89
Kansas City Chiefs,KC,DST,87.2
DeMario Douglas,NE,WR,86.1
New England Patriots,NE,DST,86.1
Blake Corum,LAR,RB,86
Los Angeles Chargers,LAC,DST,85.2
Cleveland Browns,CLE,DST,85.1
Dylan Sampson,CLE,RB,85
Arizona Cardinals,ARI,DST,84.9
Jaleel McLaughlin,DEN,RB,84.8
Darius Slayton,NYG,WR,84.8
Dontayvion Wicks,GB,WR,83.2
Mason Taylor,NYJ,TE,83.2
Jalen Tolbert,DAL,WR,82
Dallas Cowboys,DAL,DST,81
Elic Ayomanor,TEN,WR,80.6
Cole Kmet,CHI,TE,79.8
Jaylin Noel,HOU,WR,79.8
Indianapolis Colts,IND,DST,79.3
Jacksonville Jaguars,JAC,DST,79
Mike Williams,LAC,WR,78.7
Jerome Ford,CLE,RB,78.4
Miami Dolphins,MIA,DST,77.5
Theo Johnson,NYG,TE,77
Pat Bryant,DEN,WR,75.4
Mason Rudolph,PIT,QB,75.4
Diontae Johnson,CLE,WR,75.1
Devin Neal,NO,RB,74.2
Tyler Lockett,TEN,WR,74.2
New Orleans Saints,NO,DST,74.1
Tennessee Titans,TEN,DST,73.9
Tyler Higbee,LAR,TE,73.4
Kirk Cousins,ATL,QB,72.8
Brandin Cooks,NO,WR,72.4
MarShawn Lloyd,GB,RB,72
Noah Gray,KC,TE,71.4
Jalen Royals,KC,WR,71.1
Nick Westbrook-Ikhine,MIA,WR,70.7
Noah Fant,SEA,TE,70.1
Justice Hill,BAL,RB,68.7
Tutu Atwell,LAR,WR,68
Kareem Hunt,KC,RB,67.8
Calvin Austin III,PIT,WR,66.1
Kayshon Boutte,NE,WR,65.4
DJ Giddens,IND,RB,63.7
Harold Fannin Jr.,CLE,TE,63.2
Dyami Brown,JAC,WR,62.3
Devaughn Vele,DEN,WR,61.4
Jarquez Hunter,LAR,RB,60.7
Elijah Arroyo,SEA,TE,60.4
Elijah Moore,BUF,WR,59.6
Xavier Restrepo,TEN,WR,58.6
Tyler Conklin,LAC,TE,58.2
Woody Marks,HOU,RB,56.6
Audric Estime,DEN,RB,55.8
Will Shipley,PHI,RB,55.5
Tre Tucker,LV,WR,55.2
Terrance Ferguson,LAR,TE,54.5
Kendre Miller,NO,RB,53.2
Noah Brown,WAS,WR,52.6
Isaac TeSlaa,DET,WR,51.9
Taysom Hill,NO,TE,51.5
Jordan James,SF,RB,50.4
Miles Sanders,DAL,RB,50.2
Jameis Winston,NYG,QB,50.2
Jordan Whittington,LAR,WR,49.9
Malik Washington,MIA,WR,49.9
Jalen Milroe,SEA,QB,49.5
Roman Wilson,PIT,WR,49.2
Will Dissly,LAC,TE,47.2
Jalen Nailor,MIN,WR,47
Chris Rodriguez Jr.,WAS,RB,47
Tai Felton,MIN,WR,45.9
KaVontae Turpin,DAL,WR,45.6
Dawson Knox,BUF,TE,44.8
Brashard Smith,KC,RB,44.6
Marquez Valdes-Scantling,SEA,WR,43.9
Demarcus Robinson,SF,WR,43.1
Michael Mayer,LV,TE,42.7
Ray-Ray McCloud III,ATL,WR,41.9
Spencer Rattler,NO,QB,41.9
Foster Moreau,NO,TE,41.3
Troy Franklin,DEN,WR,41
Raheem Mostert,LV,RB,40.8
Luke Musgrave,GB,TE,40.2
Tory Horton,SEA,WR,39.2
Luke McCaffrey,WAS,WR,39.2
Joe Milton III,DAL,QB,38.5
Austin Hooper,NE,TE,38.1
Zack Moss,CIN,RB,38
Allen Lazard,NYJ,WR,37.9
Tim Patrick,DET,WR,37.7
Jermaine Burton,CIN,WR,37.3
Marcus Mariota,WAS,QB,36.5
Jake Browning,CIN,QB,36.3
Tyrod Taylor,NYJ,QB,35.8
Savion Williams,GB,WR,35.7
Gunnar Helm,TEN,TE,35.7
Trevor Etienne,CAR,RB,35.6
Tank Dell,HOU,WR,35.6
Darnell Washington,PIT,TE,34.9
Ty Johnson,BUF,RB,34.8
Parker Washington,JAC,WR,34.5
Keaton Mitchell,BAL,RB,34.4
Devin Singletary,NYG,RB,34.4
Malik Willis,GB,QB,34.2
Will Levis,TEN,QB,34.1
Oronde Gadsden II,LAC,TE,33.8
Tommy Tremble,CAR,TE,33.7
Kendrick Bourne,NE,WR,33.2
Curtis Samuel,BUF,WR,33.1
Aidan O'Connell,LV,QB,33
Will Howard,PIT,QB,33
Sean Tucker,TB,RB,31.4
Jonathan Mingo,DAL,WR,31.1
Gardner Minshew II,KC,QB,30.9
Jaylin Lane,WAS,WR,30.9
Christian Watson,GB,WR,30.7
Dillon Gabriel,CLE,QB,30.6
Dont'e Thornton Jr.,LV,WR,30.5
