name,position,team,projection
Tutu Atwell,WR,LAR,164
Jacory Croskey-Merritt,RB,WAS,150
Emari Demercado,RB,ARI,90
Jeremy McNichols,RB,WAS,132
Tyler Shough,QB,NO,327
Blake Grupe,K,NO,162
Calvin Austin III,WR,PIT,166
Jaleel McLaughlin,RB,DEN,77
Andrei Iosivas,WR,CIN,174
LeQuint Allen,RB,JAC,142
Emanuel Wilson,RB,GB,91
Sean Tucker,RB,TB,108
JuJu Smith-Schuster,WR,KC,204
Dont'e Thornton Jr.,WR,LVR,204
Joey Slye,K,TEN,159
Mack Hollins,WR,NE,169
Gabriel Davis,WR,UNS,185
A.J. Dillon,RB,PHI,112
Taysom Hill,TE,NO,126
Audric Estime,RB,DEN,109
Jordan Whittington,WR,LAR,183
Tyler Conklin,TE,LAC,140
Kayshon Boutte,WR,NE,157
Chris Rodriguez,RB,WAS,121
Austin Hooper,TE,NE,119
Noah Brown,WR,WAS,188
Troy Franklin,WR,DEN,177
Cam Akers,RB,NO,80
Michael Mayer,TE,LVR,124
Cade Stover,TE,HOU,154
Daniel Jones,QB,IND,223
Darnell Washington,TE,PIT,144
Oronde Gadsden II,TE,LAC,158
Malik Washington,WR,MIA,170
Adonai Mitchell,WR,IND,214
Dameon Pierce,RB,HOU,107
Jalen Nailor,WR,MIN,160
Damien Martinez,RB,SEA,119
Clyde Edwards-Helaire,RB,NO,87
Foster Moreau,TE,NO,115
Michael Carter,RB,ARI,108
Kalel Mullings,RB,TEN,116
Christopher Brooks,RB,GB,83
Luke Musgrave,TE,GB,161
Curtis Samuel,WR,BUF,157
Cordarrelle Patterson,RB,PIT,75
Josh Reynolds,WR,NYJ,165
Devaughn Vele,WR,DEN,168
Graham Gano,K,NYG,161
Ty Chandler,RB,MIN,87
Gerald Everett,TE,UNS,134
Marquez Valdes-Scantling,WR,SEA,149
Brandin Cooks,WR,NO,158
Nick Westbrook-Ikhine,WR,MIA,173
Gunnar Helm,TE,TEN,143
Elic Ayomanor,WR,TEN,193
Marcus Yarns,RB,NO,96
Ben Sinnott,TE,WAS,162
Harrison Mevis,K,NYJ,162
Sincere McCormick,RB,LVR,80
Kirk Cousins,QB,ATL,104
Tim Patrick,WR,DET,155
Craig Reynolds,RB,DET,79
Raheim Sanders,RB,LAC,98
Pierre Strong Jr.,RB,CLE,76
Dawson Knox,TE,BUF,125
Jamaal Williams,RB,UNS,71
Dustin Hopkins,K,CLE,159
Allen Lazard,WR,NYJ,155
D.J. Chark Jr.,WR,UNS,144
Tai Felton,WR,MIN,163
Parker Washington,WR,JAC,151
Mitchell Evans,TE,CAR,151
Van Jefferson,WR,TEN,151
Kimani Vidal,RB,LAC,75
Zamir White,RB,LVR,66
Brevin Jordan,TE,HOU,146
Treylon Burks,WR,TEN,167
Tommy Tremble,TE,CAR,127
Deuce Vaughn,RB,DAL,78
Drew Sample,TE,CIN,100
Luke McCaffrey,WR,WAS,171
KaVontae Turpin,WR,DAL,121
Tory Horton,WR,SEA,180
Isaac TeSlaa,WR,DET,182
Blake Watson,RB,DEN,80
Kenny McIntosh,RB,SEA,60
Kalif Raymond,WR,DET,149
Chimere Dike,WR,TEN,178
Josh Whyle,TE,TEN,128
Jalen Royals,WR,KC,187
DeeJay Dallas,RB,ARI,61
Malik Davis,RB,DAL,63
Tyler Goodson,RB,IND,46
Greg Dulcich,TE,NYG,136
Luke Schoonmaker,TE,DAL,111
Greg Dortch,WR,ARI,144
Jalen Tolbert,WR,DAL,145
Kendrick Bourne,WR,NE,126
Israel Abanikanda,RB,SF,63
Jordan Mims,RB,NO,45
Tyler Badie,RB,DEN,60
Jaxson Dart,QB,NYG,113
Savion Williams,WR,GB,172
Dylan Laube,RB,LVR,48
Hassan Haskins,RB,LAC,47
Jonathan Mingo,WR,DAL,159
Michael Gallup,WR,WAS,165
AJ Barner,TE,SEA,95
