player,team,position,age,PPR_raw,PPR,pos_rank,overall_rank,games_played,games_started,pass_completion,pass_attempt,pass_yards,pass_td,interception,rush_attempt,rush_yards,rush_yards_per_attempt,rush_td,rec_target,rec,rec_yards,yards_per_reception,rec_td,fumble,fumble_lost,total_td,tpc,tpp
Travis Homer,CHI,RB,26,6.4,6.40,120,,10,0,0,0,0,0,0,6,23,3.83,0,3,3,11,3.67,0,0,0,0,,
Hendon Hooker,DET,QB,26,2.7,2.70,67,,3,0,6,9,62,0,0,5,2,0.4,0,0,0,0,,0,0,0,0,,
Jermar Jefferson,DET,RB,24,4.2,4.20,122,,2,0,0,0,0,0,0,6,22,3.67,0,1,1,10,10,0,0,0,0,,
Terrell Jennings,NWE,RB,23,3.3,3.30,121,,3,0,0,0,0,0,0,13,33,2.54,0,1,0,0,,0,0,0,0,,
Will Mallory,IND,TE,25,6.9,6.90,94,,10,0,0,0,0,0,0,0,0,,0,8,4,29,7.25,0,0,0,0,,
Jase McClellan,ATL,RB,22,3.2,3.20,123,,2,0,0,0,0,0,0,13,32,2.46,0,0,0,0,,0,0,0,0,,
Allen Robinson,DET,WR,31,6,6.00,185,,12,0,0,0,0,0,0,0,0,,0,7,3,30,10,0,0,0,0,,
Deven Thompkins,CAR,WR,25,6.7,6.70,187,,7,0,0,0,0,0,0,2,7,3.5,0,4,4,20,5,0,0,0,0,,
Jaheim Bell,NWE,TE,23,4,4.00,99,,15,0,0,0,0,0,0,0,0,,0,3,2,20,10,0,0,0,0,,
Ronnie Bell,SFO,WR,24,4.2,4.20,189,,9,0,0,0,0,0,0,0,0,,0,6,2,22,11,0,0,0,0,,
Chris Blair,ATL,WR,27,2.7,2.70,193,,4,0,0,0,0,0,0,0,0,,0,2,1,17,17,0,0,0,0,,
Tanner Conner,MIA,TE,26,4.6,4.60,100,,8,1,0,0,0,0,0,0,0,,0,4,3,16,5.33,0,0,0,0,,
Malachi Corley,NYJ,WR,22,5.2,5.20,190,,9,1,0,0,0,0,0,2,26,13,0,6,3,16,5.33,0,1,1,0,,
Anthony Gould,IND,WR,23,3.3,3.30,188,,8,0,0,0,0,0,0,0,0,,0,1,1,23,23,0,0,0,0,,
Dallin Holker,NOR,TE,24,5.1,5.10,98,,12,2,0,0,0,0,0,0,0,,0,4,3,21,7,0,0,0,0,,
Trenton Irwin,CIN,WR,29,4.5,4.50,196,,7,2,0,0,0,0,0,0,0,,0,10,3,15,5,0,0,0,0,,
Mason Kinsey,TEN,WR,26,3.7,3.70,194,,6,0,0,0,0,0,0,0,0,,0,2,2,17,8.5,0,0,0,0,,
MarShawn Lloyd,GNB,RB,23,2.8,2.80,128,,1,0,0,0,0,0,0,6,15,2.5,0,1,1,3,3,0,0,0,0,,
Anthony Miller,BAL,WR,30,2.6,2.60,195,,2,0,0,0,0,0,0,0,0,,0,1,1,16,16,0,0,0,0,,
